Tier,Cookie Clicker Building,Pharma Equivalent,Satirical Role / Economic Function
1,Cursor,Aggressive Sales Rep,"Low-cost entry; manually ""clicks"" the market for you."
2,Grandma,Pill Mill Clinic,The backbone of early addiction; reliable and numerous.
3,Farm,Chemical Nursery,Raw material production; first step in industrialization.
4,Mine,Synthetic Lab,Extraction of high-potency chemical compounds.
5,Factory,Mass-Production Plant,"Scales ""The Pill"" to millions of units."
6,Bank,PBM (Pharmacy Benefit Manager),Manipulates the price of the product at the counter.
7,Temple,Scientific Journal,"Manufactures ""truth"" and ""consensus"" to justify use."
8,Wizard Tower,FDA Revolving Door,Bends the laws of regulation to make the impossible legal.
9,Shipment,Global Logistics Hub,Expanding the epidemic to international borders.
10,Alchemy Lab,Patent Evergreening,"Transmuting old drugs into ""new"" high-profit patents."
11,Portal,Dark Web Marketplace,"Tapping into the unregulated, ""extra-dimensional"" demand."
12,Time Machine,Clinical Trial Retcon,Going back to rewrite the history of side effects.
13,Antimatter Condenser,Bio-Engineered Dependency,Drugs so powerful they create their own gravity/demand.
14,Prism,Influencer Sponsorship,"Turning ""light"" (attention) into pure consumption."
15,Chancemaker,Lobbyist Firm,Pure luck/chaos; buying the laws that dictate the game.
16,Fractal Engine,Insurance Monopoly,A building made of buildings; you pay yourself for your drug.
17,Javascript Console,Algorithm-Driven Pricing,"Modifying the ""code"" of the economy to maximize profit."
18,Idleverse,Healthcare Ecosystem,"You own the hospital, the rehab, and the morgue."
19,Cortex Baker,Neural-Link Marketing,Manufacturing the thought of the pill inside the mind.
20,You,The CEO,You are the source of all consumption.
